,ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
88269,113159,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,516500,5.375,1.4606,13877.0,360.0,neg_amm,not_int,not_lpsm,698000.0,sb,pr,home,1U,6960.0,CIB,835,EXP,55-64,to_inst,73.99713467,North,direct,0,44.0
140194,165084,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,426500,3.625,-0.1806,,360.0,not_neg,not_int,not_lpsm,848000.0,sb,pr,home,1U,18060.0,CRIF,658,EXP,55-64,not_inst,50.29481132,North,direct,0,7.0
14270,39160,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,166500,4.25,1.3808,3219.93,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,3420.0,EXP,602,CIB,35-44,to_inst,76.37614679,central,direct,0,49.0
56610,81500,2019,,Male,nopre,type1,p2,l1,nopc,nob/c,136500,5.125,1.4041,1250.0,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,7140.0,CIB,539,CIB,>74,to_inst,59.86842105,North,direct,0,5.0
63446,88336,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,206500,4.375,0.0862,4840.0,360.0,neg_amm,not_int,not_lpsm,288000.0,sb,pr,home,1U,3180.0,CIB,541,EXP,<25,to_inst,71.70138889,south,direct,0,38.0
6383,31273,2019,cf,Joint,pre,type1,p4,l1,nopc,nob/c,396500,3.75,0.5273,0.0,180.0,not_neg,not_int,not_lpsm,1618000.0,sb,pr,home,1U,9000.0,CRIF,529,EXP,65-74,not_inst,24.50556242,North,direct,0,37.0
86340,111230,2019,cf,Joint,nopre,type3,p3,l1,nopc,nob/c,226500,4.99,0.5328,4548.37,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,6540.0,EXP,728,EXP,35-44,to_inst,99.34210526,central,direct,0,40.0
81661,106551,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,376500,3.375,-0.1701,1657.44,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,4200.0,CIB,525,EXP,35-44,not_inst,80.44871795,south,direct,0,42.0
32322,57212,2019,ncf,Female,pre,type1,p1,l1,nopc,nob/c,176500,4.375,0.4043,3157.4,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,4860.0,EXP,818,CIB,35-44,to_inst,61.28472222,North,direct,0,37.0
66332,91222,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,246500,3.99,0.1589,817.4,180.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,6000.0,CIB,635,EXP,45-54,not_inst,55.02232143,south,direct,0,43.0
